년,월,일,start_time,end_time,장소,인원,위도,경도,비고
2025,08,22,10:00,12:00,전쟁기념관 앞,300,[37.53730020043626],[126.97844799976193],용 산 용산동1가
2025,08,22,19:00,20:00,"[""중앙우체국"", ""서울역 광장""]",500,"[37.56156290501471, 37.55696099776151]","[126.98211539959279, 126.97177100014838]",남대문 명동 등
